deadline_ms,workload,policy,accuracy,macro_f1,anomaly_fn_rate,model_switch_rate,avg_host_latency_us,p95_host_latency_us,p99_host_latency_us,deadline_compliance,time_in_FAST,time_in_BALANCED,time_in_HIGH_FIDELITY,total_switches,evidence_category
10,HIGH,ACCURACY_PRIORITY,0.751875,0.7390479285714084,0.002375,0.0,13.372659358598233,19.654313929526,32.21909618288399,1.0,0.0,0.0,1.0,0,TRACE-DRIVEN HOST SIMULATION
10,HIGH,BALANCED,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,14.08688701539472,22.728781054282727,36.21329286588259,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
10,HIGH,DEADLINE_PRIORITY,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,13.230417245938222,19.213629685505136,28.71998086789921,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
10,HIGH,COMPUTE_PRIORITY,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,13.378894876580103,19.260908558161773,28.793622294222395,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
10,BURST,ACCURACY_PRIORITY,0.751875,0.7390479285714084,0.002375,0.0,24.02291052512506,40.85711935094903,73.27151844992395,1.0,0.0,0.0,1.0,0,TRACE-DRIVEN HOST SIMULATION
10,BURST,BALANCED,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,23.206335010349786,38.15342983681194,56.66598123293076,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
10,BURST,DEADLINE_PRIORITY,0.7160714285714286,0.7217814141564627,0.014,8.928571428571429e-05,22.57763594257164,37.851389339026156,55.41354040067337,1.0,1.0,0.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
10,BURST,COMPUTE_PRIORITY,0.7160714285714286,0.7217814141564627,0.014,8.928571428571429e-05,23.122120934079835,40.20841925694587,60.88169320981734,1.0,1.0,0.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
20,LOW,ACCURACY_PRIORITY,0.751875,0.7390479285714084,0.002375,0.0,4.78468315865802,6.567198624320603,10.499999917783498,1.0,0.0,0.0,1.0,0,TRACE-DRIVEN HOST SIMULATION
20,LOW,BALANCED,0.751875,0.7390479285714084,0.002375,0.0,4.9659850603367435,7.699999969190685,11.699999959091656,1.0,0.0,0.0,1.0,0,TRACE-DRIVEN HOST SIMULATION
