Model,Feature Set,N Features,Accuracy,Macro Precision,Macro Recall,Macro F1,Val Accuracy,Param Count,Model Size (B),Train Time (s),Mean Lat (us),P50 Lat (us),P95 Lat (us),P99 Lat (us)
Logistic Regression,full,14,0.58,0.580747,0.577489,0.578561,0.577303,60,1351,0.3443,91.2,81.0,139.72,269.41
Decision Tree,full,14,0.691607,0.703758,0.699082,0.682065,0.70021,45,5609,0.0895,67.22,62.1,82.82,164.22
"MLP (16, 8)",full,14,0.746607,0.753996,0.754696,0.754328,0.745212,412,20592,2.7103,142.66,123.6,243.1,380.44
Logistic Regression,reduced,12,0.580536,0.581018,0.577944,0.578912,0.576811,52,1287,0.2348,89.06,81.4,123.63,213.11
Decision Tree,reduced,12,0.691696,0.70385,0.69916,0.682149,0.70021,45,5609,0.0774,70.57,63.0,102.51,212.21
"MLP (16, 8)",reduced,12,0.739911,0.750293,0.751557,0.740593,0.746373,380,22336,5.9531,133.1,121.2,196.52,337.04
