policy,policy_label,threshold,is_selected_by_val,val_composite_score,test_composite_score,overall_accuracy,macro_f1,fn_rate_anomalous,avg_latency_us,p95_latency_us,p99_latency_us,deadline_5ms_compliance
deadline_priority,Deadline Priority,0.45,False,0.491433,0.688683,0.743839,0.751294,0.004,128.43,199.3,350.21,1.0
deadline_priority,Deadline Priority,0.5,False,0.491433,0.688683,0.743839,0.751294,0.004,128.43,199.3,350.21,1.0
deadline_priority,Deadline Priority,0.55,False,0.492485,0.688299,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
deadline_priority,Deadline Priority,0.6,False,0.492485,0.688299,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
deadline_priority,Deadline Priority,0.65,False,0.492485,0.688299,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
deadline_priority,Deadline Priority,0.7,False,0.492485,0.688299,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
deadline_priority,Deadline Priority,0.75,False,0.492485,0.688299,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
deadline_priority,Deadline Priority,0.8,False,0.492485,0.688299,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
deadline_priority,Deadline Priority,0.85,False,0.492485,0.688299,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
deadline_priority,Deadline Priority,0.9,False,0.492485,0.688299,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
deadline_priority,Deadline Priority,0.95,False,0.492485,0.688299,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
deadline_priority,Deadline Priority,1.0,True,0.65,0.656611,0.417589,0.35349,0.76725,84.1,149.5,240.61,1.0
safety_first,Safety First,0.0,False,0.65,0.753248,0.746607,0.754328,0.0,150.96,219.01,386.44,1.0
safety_first,Safety First,0.05,True,0.726331,0.822811,0.746429,0.754135,0.00025,129.93,201.1,351.31,1.0
safety_first,Safety First,0.1,False,0.726331,0.822811,0.746429,0.754135,0.00025,129.93,201.1,351.31,1.0
safety_first,Safety First,0.15,False,0.726331,0.822811,0.746429,0.754135,0.00025,129.93,201.1,351.31,1.0
safety_first,Safety First,0.2,False,0.726105,0.825164,0.744643,0.752165,0.002875,128.56,199.3,350.21,1.0
safety_first,Safety First,0.25,False,0.726105,0.825164,0.744643,0.752165,0.002875,128.56,199.3,350.21,1.0
safety_first,Safety First,0.3,False,0.726105,0.825164,0.744643,0.752165,0.002875,128.56,199.3,350.21,1.0
safety_first,Safety First,0.35,False,0.726105,0.825164,0.744643,0.752165,0.002875,128.56,199.3,350.21,1.0
safety_first,Safety First,0.4,False,0.726105,0.825164,0.744643,0.752165,0.002875,128.56,199.3,350.21,1.0
safety_first,Safety First,0.45,False,0.724701,0.82418,0.743839,0.751294,0.004,128.43,199.3,350.21,1.0
safety_first,Safety First,0.5,False,0.724701,0.82418,0.743839,0.751294,0.004,128.43,199.3,350.21,1.0
safety_first,Safety First,0.55,False,0.72469,0.822817,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
safety_first,Safety First,0.6,False,0.72469,0.822817,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
safety_first,Safety First,0.65,False,0.72469,0.822817,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
safety_first,Safety First,0.7,False,0.72469,0.822817,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
safety_first,Safety First,0.75,False,0.72469,0.822817,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
safety_first,Safety First,0.8,False,0.72469,0.822817,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
safety_first,Safety First,0.85,False,0.72469,0.822817,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
safety_first,Safety First,0.9,False,0.72469,0.822817,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
safety_first,Safety First,0.95,False,0.72469,0.822817,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
safety_first,Safety First,1.0,False,0.35,0.350409,0.417589,0.35349,0.76725,84.1,149.5,240.61,1.0
